stagenm	birthnm	firstnm	dob	origin	gender
VARCHAR	VARCHAR	VARCHAR	SMALLINT	VARCHAR	VARCHAR

Willie Aames	Aames	William	1960	\Am	M
Bud Abbott	Abbott	William	1895	\Am	M
Diahnne Abbott	#	#	#	\Am	F
George Abbott	Abbott	George	1887	\Am	M
John Abbott	Abbott	John	1905	\Br	M
Philip Abbott	Abbott	Philip	1923	\Am	M
F.Murray Abraham	#	#	#	\Un	M
James Abrahams	#	#	#	\Un	M
Maury Abram	#	#	#	\Un	#
Victoria Abril	#	#	#	\Portugse	F
David Ackroyd	#	#	1940	\Am	M
Peter Ackroyd	#	#	#	\Un	M
Eddie Acuff	Acuff	Eddie	1902	\Am	M
Jean Adair	Adair	Jean	1872	\Am	F
Alfred Adam	Adam	Alfred	1909	\Fr	M
Ronald Adam	Adam	Ronald	1896	\Br	M
John Adames	#	#	#	\Un	M
Catlin Adams	Barab	Catlin	1950	\Am	#
Dorothy Adams	Adams	Dorothy	1915	\Am	F
Edie Adams	Enke	Elizabeth Edith	1929	\Am	F
Jane Adams	Adams	Jane	1921	\Am	F
Jill Adams	Adams	Julia	1931	\Br	F
Julie Adams	Adams	\S{Betty May (Julia)	1926	\Am	F
Nick Adams	Adamschock	Nicholas	1931	\Am	M
Dawn Addams	Addams	Dawn	1930	\Br	F
Anouk Aim\'ee	Dreyfus	Fran{\c}coise Sorya	1932	\Fr	F
Richard Ainley	Ainley	Richard	1910	\Br	M
Maria Aitkins	#	#	#	\Un	F
Franklyn Ajaye	#	#	1949	\Am	M
Claude Akins	Akins	Claude	1918	\Am	M
Serap Aksoy	Aksoy	Serap	#	\Tu	F
Josh Albee	#	#	#	\Un	M
Edward Albert~jr.	#	#	#	\Un	M
William Albert	#	#	#	\Un	M
Frank Albertson	Albertson	Frank	1907	\Am	M
Mabel Albertson	Albertson	Mabel	1901	\Am	F
Hardie Albright	Albrecht	Hardy	1903	\Am	M
Lola Albright	Albright	Lola	1925	\Am	F
Robert Alda	d'Abruzzo	Alphonso	1914	\Un	M
Rutanya Alda	#	#	#	\Un	F
Vera Alentova	#	#	#	\Un	F
Jane Alexander	Quigley	Jane	1939	\Am	F
John Alexander	Alexander	John	1901	\Am	M
Katherine Alexander	Alexander	Katherine	1901	\Am	F
Sandy Alexander	#	#	#	\Un	#
Hope AlexanderWells	#	#	#	\Un	F
Muhammed Ali	Clay	Cassius	1942	Black-\Am	M
Dorothy Alison	Alison	Dorothy	1925	\Au	F
Andrea Allan	#	#	#	\Un	F
Catherine Allegret	#	#	#	\Fr	F
Gracie Allen	Allen	Gracie	1902	\Am	F
Rae Allen	#	#	#	\Un	#
Joseph Allen~jr.	#	#	#	\Un	M
Kirstie Alley	Alley	Kirstie	#	\Am	F
Sara Allgood	Allgood	Sara	1883	\Ir	F
Claud Allister	Palmer	Claud	1891	\Br	M
June Allyson	Geisman	Ella	1917	\Am	F
Pedro Almodovar	Almodovar	Pedro	#	\Sp	M
Maria Conchita Alonso	#	#	#	\Un	F
Betty Amann	#	#	#	\Un	F
Leonora Amar	#	#	#	\Un	F
Don Ameche	Amici	Dominic Felix	1908	\Am	M
Lucio Amelio	#	#	#	\Un	M
John Amos	#	#	#	\Un	M
John Amplas	#	#	#	\Un	M
Glenn Anders	Anders	Glenn	1889	\Am	M
Bridgette Andersen	#	#	#	\Un	F
Bibi Anderson	#	#	#	#	M
