STAGENM	BIRTHNM	FIRSTNM	DOB	ORIGIN	GENDER	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
VARCHAR	VARCHAR	VARCHAR	SMALLINT	VARCHAR	VARCHAR	TIMESTAMP	TIMESTAMP

Willie Aames	Aames	William	1960	\Am	M	2005-07-08 10:38:13.9	2005-07-08 11:06:29.701
Bud Abbott	Abbott	William	1895	\Am	M	2005-07-08 02:14:33.558	2005-07-08 02:52:55.911
Diahnne Abbott	#	#	#	\Am	F	2005-07-08 06:54:14.676	2005-07-08 06:56:59.594
George Abbott	Abbott	George	1887	\Am	M	2005-07-08 02:16:41.959	2005-07-08 03:36:15.731
John Abbott	Abbott	John	1905	\Br	M	2005-07-08 00:35:56.038	2005-07-08 01:02:06.82
Philip Abbott	Abbott	Philip	1923	\Am	M	2005-07-08 14:12:55.073	2005-07-08 15:29:33.632
F.Murray Abraham	#	#	#	\Un	M	2005-07-08 00:30:26.135	2005-07-08 00:41:18.825
James Abrahams	#	#	#	\Un	M	2005-07-08 05:35:13.473	2005-07-08 06:52:01.092
Maury Abram	#	#	#	\Un	#	2005-07-08 06:22:13.307	2005-07-08 07:08:52.962
Victoria Abril	#	#	#	\Portugse	F	2005-07-07 22:24:04.011	2005-07-07 23:03:35.045
David Ackroyd	#	#	1940	\Am	M	2005-07-08 03:42:56.549	2005-07-08 04:52:26.231
Peter Ackroyd	#	#	#	\Un	M	2005-07-07 16:15:36.187	2005-07-07 17:42:45.544
Eddie Acuff	Acuff	Eddie	1902	\Am	M	2005-07-07 19:24:24.538	2005-07-07 20:40:51.994
Jean Adair	Adair	Jean	1872	\Am	F	2005-07-08 13:00:22.186	2005-07-08 14:11:44.76
Alfred Adam	Adam	Alfred	1909	\Fr	M	2005-07-08 04:22:30.065	2005-07-08 05:49:16.979
Ronald Adam	Adam	Ronald	1896	\Br	M	2005-07-07 23:23:40.762	2005-07-08 00:10:42.678
John Adames	#	#	#	\Un	M	2005-07-08 03:34:45.737	2005-07-08 03:36:25.487
Catlin Adams	Barab	Catlin	1950	\Am	#	2005-07-08 05:19:39.199	2005-07-08 06:19:46.212
Dorothy Adams	Adams	Dorothy	1915	\Am	F	2005-07-07 23:31:02.438	2005-07-08 00:18:32.391
Edie Adams	Enke	Elizabeth Edith	1929	\Am	F	2005-07-07 22:23:34.697	2005-07-07 23:17:18.991
Jane Adams	Adams	Jane	1921	\Am	F	2005-07-08 11:09:17.194	2005-07-08 12:37:16.018
Jill Adams	Adams	Julia	1931	\Br	F	2005-07-07 19:09:11.602	2005-07-07 19:20:57.247
Julie Adams	Adams	\S{Betty May (Julia)	1926	\Am	F	2005-07-08 09:31:52.94	2005-07-08 09:38:02.569
Nick Adams	Adamschock	Nicholas	1931	\Am	M	2005-07-07 22:38:45.504	2005-07-07 23:35:30.912
