filmid	title	actor
VARCHAR	VARCHAR	VARCHAR

AAl10	T:Sweet Liberty	Bob Hoskins
AC6	T:The Beloved Rogue	Marceline Day
AC8	T:The Jazz Singer	Al Jolson
ACj118	T:The Hat Box	Billy Gray
ACj119	T:Keep Me Company	Anne Francis
ACj121	T:The Right Kind of Medicine	Bernard Kates
ACj121	T:The Right Kind of Medicine	Bert Remsen
ACj123	T:The Woman Who Wanted to Live	Lola Allbright
ACj124	T:Apex	Pat Breslin
ACj125	T:The Big Kick	Anne Helm
ACu23	T:Great Expectations	Anne Bancroft
ACv10	T:Therese	Aurore Prieto
ADA10	T:The Memory of the Other	Lyda Bonelli
ADA10	T:The Memory of the Other	Mario Bonnard
AdB21	T:The Constant Nymph	Mary Clare
AdB21	T:The Constant Nymph	Mabel Poulton
AdB21	T:The Constant Nymph	Benita Hume
ADg10	T:The Moneytree	Monica Caldwell
AdL5	T:Flashdance	Michael Nouri
AdL5	T:Flashdance	Belinda Bauer
AdL16	T:Indecent Proposal	Oliver Platt
ADr10	T:The Love-Ins	New Age
AES10	T:Putting Pants on Philip	Oliver Hardy
AES100	T:Follow the Boys	Orson Welles
AES100	T:Follow the Boys	Marlene Dietrich
AES100	T:Follow the Boys	Artur Rubinstein
AGe20	T:Scampolo	Max Schreck
AGe20	T:Scampolo	Oreste Bilancia
AgH10	T:Europa, Europa	Andre Wilms
AgH15	T:The Secret Garden	Maggie Smith
AGm10	T:Sometimes they come back ... again	Morgan Sheppard
AGs10	T:Visions of Light: The Art of Cinematography	Allen Daviau
AGs10	T:Visions of Light: The Art of Cinematography	Allen Daviau
AGs10	T:Visions of Light: The Art of Cinematography	Nestor Almendros
AHb20	T:Furia a Bahia pour OSS 117	Mylene Demongeot
AJG50	T:A Chump at Oxford	Peter Cushing
AJo10	T:Love Letters	Matt Clark
AJo10	T:Love Letters	Bonnie Bartlett
AJo10	T:Love Letters	Amy Madigan
AJP1	T:Klute	Anthony Holland
AJP2	TZ:The Parallax View	Paula Prentiss
AJP3	T:All the President's Men	Martin Balsam
AJP3	T:All the President's Men	Meredith Baxter
AJP7	TZ:Sophie's Choice	Peter MacNicol
AJP15	T:Presumed Innocent	Bradley Whitford
AJP29	T:The Devil's Own	Natascha McElhone
AJP29	T:The Devil's Own	Ashley Ohara
AJs1	T:The Noose	Lina Basquette
AKa5	T:Ariel	Matti Pellonpaa
AKa20	T:La Vie de Boh\`eme	Matti Pellon\"a\"A
AKj13	T:A Tangled Web	Barry Morse
AkS10	T:The Slingshot	Niklas Odlund
AKu10	TZ:Terror in the Aisles	Nancy Allen
AL10	T:Tovarich	Basil Rathbone
AL10	T:Tovarich	Anita Louise
AL10	T:Tovarich	Melville Cooper
AL10	T:Tovarich	Maurice Murphy
AL11	T:The Amazing Dr.Clitterhouse	Allen Jenkins
AL12	T:All This and Heaven Too	Walter Hampden
AL12	T:All This and Heaven Too	Montagu Love
AL13	T:Castle on the Hudson	Pat OBrien
AL13	T:Castle on the Hudson	Ann Sheridan
AL16	T:City for Conquest	Ann Sheridan
AL16	T:City for Conquest	Arthur Kennedy
AL16	T:City for Conquest	Anthony Quinn
AL21	T:Sorry Wrong Number	Barbara Stanwyk
AL21	T:Sorry Wrong Number	Ann Richards
AL22	T:The Snake Pit	Mark stevens
AL22	T:The Snake Pit	Beulah Bondi
AL22	T:The Snake Pit	Natalie Schafer
AL26	T:Anastasia	Martita Hunt
AL26	T:Anastasia	Akim Tamiroff
AL26	T:Anastasia	Natalie Schafer
AL27	T:The Journey	Anouk Aim\'ee
AlA10	T:Dracula vs. Frankenstein	Anthony Eisley
AlA50	TZ:Jessi's Girls	Regina Carrol
AlA50	TZ:Jessi's Girls	Ben Frank
AlB10	T:Dracula's Dog	Michael Pataki
AlC20	T:Tous Les Matins Du Monde	Anne Brochet
ALe1	T:The Moon and Sixpence	Albert Basserman
ALe2	T:The Picture of Dorian Gray	Lowell Gilmore
ALe2	T:The Picture of Dorian Gray	Peter Lawford
ALe4	T:Pandora and the Flying Dutchman	Ava Gardner
ALe4	T:Pandora and the Flying Dutchman	Nigel Patrick
ALe4	T:Pandora and the Flying Dutchman	Mario Cabre
ALe4	TZ:Pandora and the Flying Dutchman	Pamela Kellino
ALe4	T:Pandora and the Flying Dutchman	Marius Goring
ALe7	T:Saadia	Mel Ferrer
ALe7	T:Saadia	Michel Simon
ALe7	T:Saadia	Marcel Poncin
ALe7	T:Saadia	Peter Bull
AlG11	T:Dracula A.D. 1972	Peter Cushing
AlH8	TZ:Little Miss Marker	Lynne Overman
AlH8	TZ:Little Miss Marker	Willie Best
AlH21	T:The Doctor Takes a Wife	Reginald Gardiner
AlH24	T:Here Comes Mr.~Jordan	Benny Rubin
AlH30	T:Once Upon A Time	Art Baker
AlH38	T:Let's Do It Again	Aldo Ray
ALi10	TZ:Where the Buffalo Roam	Rene Auberjonois
ALi10	T:Where the Buffalo Roam	R.G. Armstrong
AlL3	T:Le ballon rouge	Pascal Lamorisse
AlP10	T:The Eyes of Youth	Pauline Starke
AlP10	T:The Eyes of Youth	Milton Sills
AlP50	T:Blind Man's Bluff	Barbara Greene
AlT10	T:Dual Alibi	Phyllis Dixey
ALv10	T:Vice Squad	Paulette Goddard
ALv10	T:Vice Squad	Porter Hall
ALv100	T:Decoy	Arnold Laven
