FILMID	TITLE	ACTOR	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
VARCHAR	VARCHAR	VARCHAR	TIMESTAMP	TIMESTAMP

AAl10	T:Sweet Liberty	Bob Hoskins	2005-07-08 10:38:13.9	2005-07-08 11:06:29.701
AC6	T:The Beloved Rogue	Marceline Day	2005-07-08 02:14:33.558	2005-07-08 02:52:55.911
AC8	T:The Jazz Singer	Al Jolson	2005-07-08 06:54:14.676	2005-07-08 06:56:59.594
ACj118	T:The Hat Box	Billy Gray	2005-07-08 02:16:41.959	2005-07-08 03:36:15.731
ACj119	T:Keep Me Company	Anne Francis	2005-07-08 00:35:56.038	2005-07-08 01:02:06.82
ACj121	T:The Right Kind of Medicine	Bernard Kates	2005-07-08 14:12:55.073	2005-07-08 15:29:33.632
ACj121	T:The Right Kind of Medicine	Bert Remsen	2005-07-08 00:30:26.135	2005-07-08 00:41:18.825
ACj123	T:The Woman Who Wanted to Live	Lola Allbright	2005-07-08 05:35:13.473	2005-07-08 06:52:01.092
ACj124	T:Apex	Pat Breslin	2005-07-08 06:22:13.307	2005-07-08 07:08:52.962
ACj125	T:The Big Kick	Anne Helm	2005-07-07 22:24:04.011	2005-07-07 23:03:35.045
ACu23	T:Great Expectations	Anne Bancroft	2005-07-08 03:42:56.549	2005-07-08 04:52:26.231
ACv10	T:Therese	Aurore Prieto	2005-07-07 16:15:36.187	2005-07-07 17:42:45.544
ADA10	T:The Memory of the Other	Lyda Bonelli	2005-07-07 19:24:24.538	2005-07-07 20:40:51.994
ADA10	T:The Memory of the Other	Mario Bonnard	2005-07-08 13:00:22.186	2005-07-08 14:11:44.76
AdB21	T:The Constant Nymph	Mary Clare	2005-07-08 04:22:30.065	2005-07-08 05:49:16.979
AdB21	T:The Constant Nymph	Mabel Poulton	2005-07-07 23:23:40.762	2005-07-08 00:10:42.678
AdB21	T:The Constant Nymph	Benita Hume	2005-07-08 03:34:45.737	2005-07-08 03:36:25.487
ADg10	T:The Moneytree	Monica Caldwell	2005-07-08 05:19:39.199	2005-07-08 06:19:46.212
AdL5	T:Flashdance	Michael Nouri	2005-07-07 23:31:02.438	2005-07-08 00:18:32.391
AdL5	T:Flashdance	Belinda Bauer	2005-07-07 22:23:34.697	2005-07-07 23:17:18.991
AdL16	T:Indecent Proposal	Oliver Platt	2005-07-08 11:09:17.194	2005-07-08 12:37:16.018
ADr10	T:The Love-Ins	New Age	2005-07-07 19:09:11.602	2005-07-07 19:20:57.247
AES10	T:Putting Pants on Philip	Oliver Hardy	2005-07-08 09:31:52.94	2005-07-08 09:38:02.569
AES100	T:Follow the Boys	Orson Welles	2005-07-07 22:38:45.504	2005-07-07 23:35:30.912
AES100	T:Follow the Boys	Marlene Dietrich	2005-07-08 15:07:58.264	2005-07-08 16:31:51.134
AES100	T:Follow the Boys	Artur Rubinstein	2005-07-08 00:43:00.542	2005-07-08 00:53:55.705
AGe20	T:Scampolo	Max Schreck	2005-07-08 11:04:05.57	2005-07-08 11:58:37.656
AGe20	T:Scampolo	Oreste Bilancia	2005-07-08 09:29:21.674	2005-07-08 09:51:32.779
AgH10	T:Europa, Europa	Andre Wilms	2005-07-08 12:36:58.237	2005-07-08 13:16:49.538
AgH15	T:The Secret Garden	Maggie Smith	2005-07-07 20:59:24.505	2005-07-07 22:13:44.917
AGm10	T:Sometimes they come back ... again	Morgan Sheppard	2005-07-08 02:15:09.267	2005-07-08 02:40:22.139
AGs10	T:Visions of Light: The Art of Cinematography	Allen Daviau	2005-07-07 19:41:24.913	2005-07-07 20:00:34.42
AGs10	T:Visions of Light: The Art of Cinematography	Allen Daviau	2005-07-07 19:18:45.537	2005-07-07 20:06:32.211
AGs10	T:Visions of Light: The Art of Cinematography	Nestor Almendros	2005-07-08 03:14:59.013	2005-07-08 03:31:51.516
AHb20	T:Furia a Bahia pour OSS 117	Mylene Demongeot	2005-07-08 08:37:12.49	2005-07-08 09:51:39.29
