filmid	title	year	director
VARCHAR	VARCHAR	SMALLINT	VARCHAR

H45	T:Rope	1948	D:Hitchcock
H46	T:Under Capricorn	1949	D:Hitchcock
H50	T:Dial M for Murder	1954	D:Hitchcock
H51	T:Rear Window	1954	D:Hitchcock
H52	T:To Catch a Thief	1955	D:Hitchcock
H53	T:The Trouble with Harry	1956	D:Hitchcock
H57	T:The Man Who Knew Too Much	1956	D:Hitchcock
H65	T:Vertigo	1958	D:Hitchcock
H69	T:North by Northwest	1959	D:Hitchcock
H79	T:The Birds	1963	D:Hitchcock
H81	T:Torn Curtain	1966	D:Hitchcock
H82	T:Topaz	1969	D:Hitchcock
H83	T:Frenzy	1972	D:Hitchcock
ALu4	T:Le Gouter de B\'eb\'e	1895	D:A.Lumiere
ALu5	T:L'Arroseur arross\'e	1895	D:A.Lumiere
ALu6	T:Barque Quittant le Port	1895	D:A.Lumiere
ALu7	T:Boules	1895	D:A.Lumiere
ALu30	T:L'assissinatat du Duc de Guise	1908	D:A.Lumiere
GMs4	T:Cinderella	1900	D:Melies
GMs6	T:Le voyage dans la lune	1902	D:Melies
CPa1	T:La Passion	1902	D:Pathe
DWG10	T:The Life of Edgar Allen Poe	1909	D:Griffith
DWG11	T:The Curtain Pole	1909	D:Griffith
DWG40	T:The Raven	1912	D:Griffith
DWG80	T:Abraham Lincoln	1930	D:Griffith
ThB55	T:Hobson's Choice	1931	D:Bentley
ADw70	T:Cattle Queen of Montana	1954	D:Dwan
ADw72	T:Passion	1954	D:Dwan
ADw75	T:Tennessee's Partner	1954	D:Dwan
ADw78	T:Pearl of the South Pacific	1955	D:Dwan
AEG60	T:The Jolson Story	1946	D:A.E.Green
AEG70	T:The Eddie Cantor Story	1953	D:A.E.Green
JCw41	T:Bringing Up Father	1928	D:Conway
MSt40	T:The Saga of Gosta Berlin	1924	D:M.Stiller
MSt50	T:The Blizzard	1926	D:M.Stiller
CDM77	T:Unconquered	1947	D:DeMille
CDM80	T:The Ten Commandments	1956	D:DeMille
GBS30	T:Velvet Fingers	1921	D:Seitz
GBS40	T:The Sky Ranger	1925	D:Seitz
GBS90	T:The Woman in his Life	1935	D:Seitz
AK40	T:The Private Life of Helen of Troy	1927	D:A.Korda
AK49	T:The Princess and the Plumber	1931	D:A.Korda
AK50	T:Marius	1931	D:A.Korda
AK57	T:The Private Life of Henry VIII	1933	D:A.Korda
CC50	T:Shangheid	1916	D:Chaplin
CC52	T:A Night at the Show	1916	D:Chaplin
EL52	T:Paramount on Parade	1930	D:Lubitsch
EL54	T:The Smiling Luitenant	1931	D:Lubitsch
EL62	T:Angel	1937	D:Lubitsch
EL63	T:Bluebeard's Eighth Wife	1938	D:Lubitsch
EL68	T:Heaven Can Wait	1943	D:Lubitsch
ASa14	T:Bluebeard's Seven Wives	1926	D:Santell
ASa29	T:The Sea Wolf	1930	D:Santell
ASa30	T:Body and Soul	1931	D:Santell
ASa41	T:Winterset	1936	D:Santell
ASa47	T:Our Leading Citizen	1939	D:Santell
ASa49	T:Betond the Blue Horizon	1942	D:Santell
ASa50	T:Jack London	1943	D:Santell
ASa51	T:The Hairy Ape	1944	D:Santell
ECa64	T:New Moon	1930	D:Carewe
RaW73	T:One Sunday Afternoon	1949	D:Walsh
RaW78	T:Blackbeard the Pirate	1952	D:Walsh
RaW80	T:Gun Fury	1953	D:Walsh
RaW82	T:Battle Cry	1954	D:Walsh
RaW85	T:Band of Angels	1957	D:Walsh
SG33	T:The Pearls of the Crown	1937	D:Guitry
SG71	T:Assassins et Voleurs	1957	D:Guitry
AG10	T:J'accuse	1919	D:Gance
AG30	T:La Fin du Monde	1930	D:Gance
AG50	T:J'accuse	1937	D:Gance
AG65	T:Magirama	1955	D:Gance
AG70	T:Austerlitz	1960	D:Gance
HK75	T:The Black Swan	1942	D:H.King
HK80	T:Captain from Castile	1947	D:H.King
HK83	T:The Gunfighter	1950	D:H.King
HK86	T:David and Bathsheeba	1950	D:H.King
HK89	T:The Snows of Kilimandjaro	1952	D:H.King
HK91	T:Love is a many Splendored Thing	1955	D:H.King
HK92	T:Untamed	1955	D:H.King
HK94	T:The Sun also Rises	1957	D:H.King
FLl7	T:Les Mis\'erables	1918	D:F.Lloyd
GM190	T:The Goldwyn Follies	1938	D:Geo.Marshall
GM222	T:Incendiary Blonde	1945	D:Geo.Marshall
GM237	T:Houdini	1953	D:Geo.Marshall
GM240	T:Red Garters	1954	D:Geo.Marshall
GM300	T:Destry	1954	D:Geo.Marshall
GM305	T:The Gazebo	1959	D:Geo.Marshall
GM310	T:Papa's Delicate Condition	1963	D:Geo.Marshall
IF75	T:Judge Priest	1934	D:J.Ford
IF88	T:Drums Along the Mohawk	1939	D:J.Ford
IF100	T:The Three Godfathers	1948	D:J.Ford
IF111	T:Mr.~Roberts	1955	D:J.Ford
IF112	T:The Searchers	1956	D:J.Ford
IF125	Tm:Donovan's Reef	1963	D:J.Ford
IF135	T:Seven Women	1966	D:J.Ford
ISR10	T:Dr.~Jekyll and Mr.~Hyde	1920	D:Robertson
ISR20	T:Captain of the Guard	1930	D:Robertson
RyB17	T:The Garden of Allah	1936	D:Boleslawski
ViS60	T:Redskin	1929	D:Schertzinger
ViS81	T:The Mikado	1939	D:Schertzinger
FrN4	T:The Three Musketeers	1921	D:Niblo
IMS60	T:Leave Her to Heaven	1945	D:Stahl
KV41	T:The Citadel	1938	D:K.Vidor
KV42	T:Northwest Passage	1939	D:K.Vidor
KV50	T:An American Romance	1944	D:K.Vidor
KV54	T:Cover Girl	1944	D:K.Vidor
KV56	T:Duel in the Sun	1946	D:K.Vidor
KV60	T:Ruby Gentry	1952	D:K.Vidor
KV61	T:The Man Without a Star	1955	D:K.Vidor
KV62	T:Love Me Or Leave Me	1955	D:K.Vidor
KV64	T:War and Peace	1956	D:K.Vidor
TB70	T:The Devil Doll	1936	D:T.Browning
WvD65	T:Sweethearts	1938	D:VanDyke
WvD72	T:Bitter Sweet	1939	D:VanDyke
WvD75	T:Rage in Heaven	1941	D:VanDyke
WvD76	T:Shadow of the Thin Man	1941	D:VanDyke
C106	Tm:Charge of the Light Brigade	1936	D:Curtiz
C112	T:The Adventures of Robin Hood	1938	D:Curtiz
C118	T:The Private Lives of Elizabeth and Essex	1939	D:Curtiz
C119	T:Dodge City	1939	D:Curtiz
C157	T:The Jazz Singer	1953	D:Curtiz
C160	T:We're No Angels	1954	D:Curtiz
C161	T:White Christmas	1954	D:Curtiz
C165	T:The Vagabond King	1956	D:Curtiz
C171	T:The Adventures of Huckleberry Finn	1960	D:Curtiz
FL23	T:Western Union	1941	D:F.Lang
FL26	T:Hangmen Also Die	1942	D:F.Lang
JuD12	T:Lydia	1941	D:Duvivier
JuD13	T:Tales of Manhattan	1942	D:Duvivier
RhS1	T:Around The World in 80 Days	1919	D:Schunzel
RhS15	T:Die Dreigroschenoper	1931	D:Schunzel
CBw10	T:The Goose Woman	1925	D:Cl.Brown
CBw35	T:Idiot's Delight	1939	D:Cl.Brown
CBw38	T:Come Live With Me	1941	D:Cl.Brown
CBw43	T:The Yearling	1946	D:Cl.Brown
CuB37	T:The Merry Widow	1952	D:Bernhardt
CuB39	T:Miss Sadie Thompson	1953	D:Bernhardt
CuB40	T:Beau Brummel	1954	D:Bernhardt
GCt27	T:Woman to Woman	1926	D:Cutts
GCt50	T:Three Men in a Boat	1933	D:Cutts
HWx17	T:Sixty Glorious Years	1938	D:H.Wilcox
HWx55	T:Lilacs in the Spring	1954	D:H.Wilcox
SW8	T:Hold Your Man	1933	D:S.Wood
SW22	T:For Whom the Bell Tolls	1943	D:S.Wood
SW28	T:Saratoga Trunk	1945	D:S.Wood
VF43	T:The Wizard of Oz	1939	D:V.Fleming
VF44	T:Gone with the Wind	1939	D:V.Fleming
VF46	T:Tortilla Flat	1942	D:V.Fleming
VF48	T:Joan of Arc	1948	D:V.Fleming
PRo80	T:Charlie Chan in the Secret Service	1944	D:Rosen
PRo83	T:The Chinese Cat	1944	D:Rosen
PRo86	T:Charlie Chan in Black Magic	1944	D:Rosen
PRo90	T:The Jade Mask	1945	D:Rosen
PRo93	T:The Scarlet Clue	1945	D:Rosen
PRo96	T:The Red Dragon	1945	D:Rosen
GP4	T:Secrets of a Soul	1926	D:G.W.Pabst
GP6	T:The Love of Jeanne Ney	1927	D:G.W.Pabst
GP11	T:Westfront 1918	1930	D:Pabst
GP18	T:Feuertaufe	1933	D:Pabst
GP21	T:M\"adchen in Uniform	1939	D:Pabst
GP25	T:Der Proze\ss	1948	D:Pabst
GP100	T:M\"adchen in Uniform	1957	D:Pabst
KGr40	T:Abdul the Damned	1935	D:Grune
KGr50	T:Pagliacci	1935	D:Grune
KMz40	T:Woman of Osaka	1940	D:Mizoguchi
KMz70	T:Ugetsu Monogatari	1952	D:Mizoguchi
MRa3	T:L'Etoile de mer	1929	D:Man~Ray
TWh25	T:The Divorce of Lady X	1937	D:Whelan
WiB180	T:The Chinese Ring	1947	D:Beaudine
WiB183	T:The Shanghai Chest	1948	D:Beaudine
WiB186	T:The Mystery of the Golden Eye	1948	D:Beaudine
WiB190	T:The Feathered Serpent	1948	D:Beaudine
W73	T:A Star is Born	1937	D:Wellman
W74	T:Nothing Sacred	1937	D:Wellman
W75	T:Men with Wings	1938	D:Wellman
W100	T:The High and the Mighty	1954	D:Wellman
JR92	T:The Golden Coach	1952	D:J.Renoir
SE1	T:Glumov's Diary	1924	D:Eisenstein
SE6	T:Oktober	1927	D:Eisenstein
SE8	T:The General Line	1928	D:Eisenstein
SE10	T:Mysery and Fortune of Women	1929	D:Eisenstein
SE15	T:Que Viva Mexico	1932	D:Eisenstein
SE26	T:Ivan the Terrible, part II	1946	D:Eisenstein
SE27	T:Ivan the Terrible, part III	1946	D:Eisenstein
AES80	T:The Flying Deuces	1939	D:A.E.Sutherland
CLa117	T:Ma and Pa Kettle in Paris	1953	D:Lamont
CLa120	T:Untamed Heiress	1954	D:Lamont
CLa127	T:Dance With me, Henry	1956	D:Lamont
CLa135	T:The Kettles in the Ozarks	1956	D:Lamont
GLC11	T:She Married Her Boss	1935	D:LaCava
IGB40	T:Charlie Chan's Chance	1932	D:Blystone
IrC81	T:That Night in Rio	1941	D:I.Cummings
IrC86	T:Sweet Rosie O'Grady	1943	D:I.Cummings
LM38.	T:Mutiny on the Bounty	1962	D:Milestone
LM110	T:Ocean's Eleven	1960	D:Milestone
S24.	T:The Saga of Anatahan	1953	D:Sternberg
ThD30	T:Gaslight	1939	D:Dickinson
ThD35	T:The Prime Minister	1941	D:Dickinson
