FILMID	TITLE	YEAR	DIRECTOR	TIME_INTERVAL_START_TIMESTAMP	TIME_INTERVAL_END_TIMESTAMP
VARCHAR	VARCHAR	SMALLINT	VARCHAR	TIMESTAMP	TIMESTAMP

H45	T:Rope	1948	D:Hitchcock	2005-07-08 10:38:13.9	2005-07-08 11:06:29.701
H46	T:Under Capricorn	1949	D:Hitchcock	2005-07-08 02:14:33.558	2005-07-08 02:52:55.911
H50	T:Dial M for Murder	1954	D:Hitchcock	2005-07-08 06:54:14.676	2005-07-08 06:56:59.594
H51	T:Rear Window	1954	D:Hitchcock	2005-07-08 02:16:41.959	2005-07-08 03:36:15.731
H52	T:To Catch a Thief	1955	D:Hitchcock	2005-07-08 00:35:56.038	2005-07-08 01:02:06.82
H53	T:The Trouble with Harry	1956	D:Hitchcock	2005-07-08 14:12:55.073	2005-07-08 15:29:33.632
H57	T:The Man Who Knew Too Much	1956	D:Hitchcock	2005-07-08 00:30:26.135	2005-07-08 00:41:18.825
H65	T:Vertigo	1958	D:Hitchcock	2005-07-08 05:35:13.473	2005-07-08 06:52:01.092
H69	T:North by Northwest	1959	D:Hitchcock	2005-07-08 06:22:13.307	2005-07-08 07:08:52.962
H79	T:The Birds	1963	D:Hitchcock	2005-07-07 22:24:04.011	2005-07-07 23:03:35.045
H81	T:Torn Curtain	1966	D:Hitchcock	2005-07-08 03:42:56.549	2005-07-08 04:52:26.231
H82	T:Topaz	1969	D:Hitchcock	2005-07-07 16:15:36.187	2005-07-07 17:42:45.544
H83	T:Frenzy	1972	D:Hitchcock	2005-07-07 19:24:24.538	2005-07-07 20:40:51.994
ALu4	T:Le Gouter de B\'eb\'e	1895	D:A.Lumiere	2005-07-08 13:00:22.186	2005-07-08 14:11:44.76
ALu5	T:L'Arroseur arross\'e	1895	D:A.Lumiere	2005-07-08 04:22:30.065	2005-07-08 05:49:16.979
ALu6	T:Barque Quittant le Port	1895	D:A.Lumiere	2005-07-07 23:23:40.762	2005-07-08 00:10:42.678
ALu7	T:Boules	1895	D:A.Lumiere	2005-07-08 03:34:45.737	2005-07-08 03:36:25.487
ALu30	T:L'assissinatat du Duc de Guise	1908	D:A.Lumiere	2005-07-08 05:19:39.199	2005-07-08 06:19:46.212
GMs4	T:Cinderella	1900	D:Melies	2005-07-07 23:31:02.438	2005-07-08 00:18:32.391
GMs6	T:Le voyage dans la lune	1902	D:Melies	2005-07-07 22:23:34.697	2005-07-07 23:17:18.991
CPa1	T:La Passion	1902	D:Pathe	2005-07-08 11:09:17.194	2005-07-08 12:37:16.018
DWG10	T:The Life of Edgar Allen Poe	1909	D:Griffith	2005-07-07 19:09:11.602	2005-07-07 19:20:57.247
DWG11	T:The Curtain Pole	1909	D:Griffith	2005-07-08 09:31:52.94	2005-07-08 09:38:02.569
DWG40	T:The Raven	1912	D:Griffith	2005-07-07 22:38:45.504	2005-07-07 23:35:30.912
DWG80	T:Abraham Lincoln	1930	D:Griffith	2005-07-08 15:07:58.264	2005-07-08 16:31:51.134
ThB55	T:Hobson's Choice	1931	D:Bentley	2005-07-08 00:43:00.542	2005-07-08 00:53:55.705
ADw70	T:Cattle Queen of Montana	1954	D:Dwan	2005-07-08 11:04:05.57	2005-07-08 11:58:37.656
ADw72	T:Passion	1954	D:Dwan	2005-07-08 09:29:21.674	2005-07-08 09:51:32.779
ADw75	T:Tennessee's Partner	1954	D:Dwan	2005-07-08 12:36:58.237	2005-07-08 13:16:49.538
ADw78	T:Pearl of the South Pacific	1955	D:Dwan	2005-07-07 20:59:24.505	2005-07-07 22:13:44.917
AEG60	T:The Jolson Story	1946	D:A.E.Green	2005-07-08 02:15:09.267	2005-07-08 02:40:22.139
AEG70	T:The Eddie Cantor Story	1953	D:A.E.Green	2005-07-07 19:41:24.913	2005-07-07 20:00:34.42
JCw41	T:Bringing Up Father	1928	D:Conway	2005-07-07 19:18:45.537	2005-07-07 20:06:32.211
MSt40	T:The Saga of Gosta Berlin	1924	D:M.Stiller	2005-07-08 03:14:59.013	2005-07-08 03:31:51.516
MSt50	T:The Blizzard	1926	D:M.Stiller	2005-07-08 08:37:12.49	2005-07-08 09:51:39.29
CDM77	T:Unconquered	1947	D:DeMille	2005-07-08 00:02:29.736	2005-07-08 01:03:15.089
CDM80	T:The Ten Commandments	1956	D:DeMille	2005-07-07 18:02:00.626	2005-07-07 19:30:06.815
GBS30	T:Velvet Fingers	1921	D:Seitz	2005-07-08 09:33:20.787	2005-07-08 10:56:38.44
GBS40	T:The Sky Ranger	1925	D:Seitz	2005-07-07 16:21:51.242	2005-07-07 17:49:28.959
GBS90	T:The Woman in his Life	1935	D:Seitz	2005-07-07 15:55:33.092	2005-07-07 16:14:01.779
AK40	T:The Private Life of Helen of Troy	1927	D:A.Korda	2005-07-08 14:06:52.688	2005-07-08 15:34:03.628
AK49	T:The Princess and the Plumber	1931	D:A.Korda	2005-07-08 04:15:03.126	2005-07-08 05:26:57.573
AK50	T:Marius	1931	D:A.Korda	2005-07-08 09:40:15.481	2005-07-08 09:40:16.179
AK57	T:The Private Life of Henry VIII	1933	D:A.Korda	2005-07-08 13:26:42.651	2005-07-08 14:52:04.544
CC50	T:Shangheid	1916	D:Chaplin	2005-07-08 10:58:44.345	2005-07-08 12:15:07.856
CC52	T:A Night at the Show	1916	D:Chaplin	2005-07-08 15:18:27.602	2005-07-08 15:45:25.173
EL52	T:Paramount on Parade	1930	D:Lubitsch	2005-07-07 17:42:50.123	2005-07-07 18:41:38.54
EL54	T:The Smiling Luitenant	1931	D:Lubitsch	2005-07-08 13:23:44.421	2005-07-08 13:47:42.429
EL62	T:Angel	1937	D:Lubitsch	2005-07-08 08:22:07.325	2005-07-08 09:02:12.918
EL63	T:Bluebeard's Eighth Wife	1938	D:Lubitsch	2005-07-07 21:57:19.042	2005-07-07 22:00:12.382
EL68	T:Heaven Can Wait	1943	D:Lubitsch	2005-07-07 21:23:08.764	2005-07-07 22:26:51.947
ASa14	T:Bluebeard's Seven Wives	1926	D:Santell	2005-07-08 00:18:19.7	2005-07-08 01:18:52.571
ASa29	T:The Sea Wolf	1930	D:Santell	2005-07-07 21:31:35.255	2005-07-07 22:19:44.409
ASa30	T:Body and Soul	1931	D:Santell	2005-07-08 12:25:32.189	2005-07-08 13:24:08.026
ASa41	T:Winterset	1936	D:Santell	2005-07-07 16:12:43.858	2005-07-07 16:24:39.163
ASa47	T:Our Leading Citizen	1939	D:Santell	2005-07-08 10:51:45.49	2005-07-08 11:47:46.678
ASa49	T:Betond the Blue Horizon	1942	D:Santell	2005-07-07 22:10:37.802	2005-07-07 23:20:06.713
ASa50	T:Jack London	1943	D:Santell	2005-07-08 01:17:57.587	2005-07-08 01:40:06.281
ASa51	T:The Hairy Ape	1944	D:Santell	2005-07-08 01:16:28.895	2005-07-08 02:30:21.432
ECa64	T:New Moon	1930	D:Carewe	2005-07-08 01:09:17.273	2005-07-08 01:31:18.26
RaW73	T:One Sunday Afternoon	1949	D:Walsh	2005-07-08 05:11:29.355	2005-07-08 06:37:05.33
RaW78	T:Blackbeard the Pirate	1952	D:Walsh	2005-07-08 08:27:04.084	2005-07-08 09:45:55.306
RaW80	T:Gun Fury	1953	D:Walsh	2005-07-07 22:52:52.209	2005-07-08 00:01:16.982
RaW82	T:Battle Cry	1954	D:Walsh	2005-07-07 23:29:47.725	2005-07-08 00:18:49.248
RaW85	T:Band of Angels	1957	D:Walsh	2005-07-07 19:30:51.05	2005-07-07 20:26:56.949
SG33	T:The Pearls of the Crown	1937	D:Guitry	2005-07-07 16:03:53.309	2005-07-07 17:14:16.488
SG71	T:Assassins et Voleurs	1957	D:Guitry	2005-07-08 08:44:18.894	2005-07-08 09:18:53.736
AG10	T:J'accuse	1919	D:Gance	2005-07-07 18:01:59.564	2005-07-07 18:07:20.696
AG30	T:La Fin du Monde	1930	D:Gance	2005-07-08 14:20:49.208	2005-07-08 15:35:48.976
AG50	T:J'accuse	1937	D:Gance	2005-07-08 07:22:08.577	2005-07-08 07:57:17.734
AG65	T:Magirama	1955	D:Gance	2005-07-07 20:44:41.158	2005-07-07 21:24:20.726
AG70	T:Austerlitz	1960	D:Gance	2005-07-08 04:00:44.626	2005-07-08 04:11:41.923
HK75	T:The Black Swan	1942	D:H.King	2005-07-08 11:14:22.333	2005-07-08 11:55:21.667
